Bahasa Ambon,English
dangke,"itj. thanks. (Usually ""Dangke lai!"")"
dangsa,v. see dansa.
danke,itj. See dangke.
dano,n. lake.
dansa,v. dance.
daong,n. leaf.
daong biana,see daong mayana.
daong burung,"n. A small tree, the roots of which are pounded and used in emulsions to treat skin diseases."
daong gatal,"n. A nettle, Urtica spp."
daong katang-katang,n. A tree that grows in the sand along the seashore.
daong kikir,"n. A tree, the leaves of which are used to roll cigarettes, (myrt.) rhoda.:"
daong mayana,"n. A coleus plant species, the leaves of which are used for eyedrops or as an ingredient in medicinal potions."
daong mayang,"n. dried coconut leaf, often bundled together and tied to make torches."
daong siri,n. betel leaf.
daong takajo,n. the kind of mimosa weed whose leaves close up when touched.
dapa,v. 1. get. Dia dapa kepeng dari mana? = Where did he get the money? 2. find. Cari sampe dapa. = Search until you find (it). 3. get or be able to do something. Dapa lia = be able to see. Dapa pii = be able to go or get a chance to go. 4. receive the action of a verb. Dapa ciong = get kissed. Dapa pukul = get hit.
dapa ampong,v. receive pardon.
dapa colo,v. get a dunking.
dapa marah,v. get a scolding.
dapa pukul,"v. get a thrashing, as for doing something wrong."
dapor,n. kitchen.
dapur,see dapor.
dar,see dari.
dara,n. 1. blood. 2. a place more landward from here. Mari katoong nae ka dara. = Let's go ashore. Ant. lao.
dara ayang,n. wart.
dareem,"n. steel drum. Also droom, toong."
dari,vi. move from. Beta dari dara ka lau. I made my way from inland towards the sea. prp. from.
dari balakang,adv. afterwards.
dari muka,adv. from before.
darurat,adj. temporary (of a building).
dasar,adj. temporary (of a building).
dasi,n. necktie.
dati,n. Property of a clan.
dayong,n. oar. v. row.
dayung,see dayong.
deek,n. deck.
dego-dego,n. traditional Moluccan bed.
dekeng,"vt. cover, serve as body guard for. Maju, nanti beta dekeng balakang = go ahead, and I will cover our rear."
dendeng,"n. cured meat, jerky."
deng,prp. 1. together with. Beta pii deng Ateng. = I went with Ateng. 2. using. Pukul akang deng martelu. = Hit it with a hammer. crd. and. Orang tua deng ana2 = Adults and children.
dengang,see deng.
dengar,"v. 1. listen. 2. hear. 3. obey. dengar dengarang, v. obey."
dengarang,n. parental advice. Ana tar suka dengar dengarang. = Disobedient child.
depa,n. fathom. v. step across. Depa goot. = Step across the gutter.
desel,n. adze.
detiik,n. second (of time).
di muka,prp. 2. in front of. 2. before in time.
difan,"n. couch, sofa."
dinamo,n. electric motor or generator.
dinas,"n. government or military service. adj. pertaining to government or military service. Pakeang dinas, uniform."
dinding,"n. wall of a house or a room, partition."
dinging,adj. 1. cold. 2. damp.
diploma,n. diploma.
diri,n. self.
dobol,v. strike hard.
dodesu,see dudesu
dodol,n. confection consisting of durian fruit wrapped in leaves and smoke-dried.
dolo,"n. past. Dari dolo lae = since a long time ago. adj. of past time, old. Ruma Makang Tin-Tin Dolo = The Old Tin-Tin Restaurant. adv. 1. first. Mandi dolo baru makang = Bath first, then eat. 2. awhile (often to urge cooperation). Barmaeng kaneker dolo = (let's) play marbles awhile.3. please. Makang dolo = Please eat. 4. To outrageously satisfy some pent-up urge or desire. Makang papeda dolo! = I'm going to eat papeda now!"
dolo-dolo,n. long ago. Cf. tempo dulu.
donci,"v. ditty, song."
dong,"prn. they, them. Also dorang."
dongeng,n. made-up story.
dongkrak,"n. jack, hoist, winch."
doos,n. box.
doot,n. pacifier. Rubber pacifier for babies.
dorang,"prn. they, them. Also dong."
doriang,see duriang.
dosa,n. sin.
dosi,n. box.
doti,v. cast a spell upon with nefarious intent. Beta doti se nanti. = I will cast a spell upon you.
doxa,n. prayer.
dreibank,n. lathe.
drem,n. steel drum. Also dareem.
droom,n. steel drum. Also dareem.
duda,n. widow or widower.
dudang,"adj. metallic (of plates, basins, etc.)."
dudesu,n. any snare employing a noose and trigger.
dudu,"v. 1. sit down. 2. remain seated. 3. settle, as suspended particles in a fluid."
dudu meja,see panoi.
duku,see pohong duku.
dukung,n. shaman. v. carry in the arms.
dulang,"n. a large, circular, wooden tray that women use to carry things on their heads. cf. Aniong."
duri,n. thorn.
duri babi,"n. seaurchin, Echinodea."
duri karanjang,n. a large thorn bush and its thorns.
duri mimosa,"n. a thorny vine having pink, ball-shaped flowers, whose leaves close when touched."
duriang,"n. a tree, the durian. Also doriang."
dusung,"n. plantation. Ontua pung dusung cengke, His clove plantation."
duyong,"n. dugong, sea cow."
duyung,see duyong.
ea,adv. yes.
ee,"adv. a word used to end lines of poetry and certain kinds of sentences. Basaar ee! = Wow, it's big! Kas beta sadiki jua ee? = Come on, give me a little, okay? cf. o."
eja,"v. spell (a word). adv. haltingly, sounding out words. Ontua baca eja, He read haltingly."
ejek,"v. taunt, ridicule."
ekor,n. 1. tail. 2. numeric coefficient for animals.
ela sagu,n. unfiltered sago-meal.
eleng,"v. 1. fear, respect. 2. envy."
ence,n. male Chinese shopkeeper. Ant. nya.
enggo,n. home base in games involving running.
enggo basambunyi,n. (game of) hide-and-seek.
enggo lari,n. foot race.
ero,v. bend. Ontua ero akang. = He bent it.
eso,see beso.
eso,adv. tomorrow.
eso-lusa,"adv. in the coming days, sometime in the future."
ewang,"n. 1. uncleared primary forest. cf. aong. PAN wao, forest, uninhabited land. 2. Unused land. Ewang kusu-kusu. = Unused land covered by alang-alang grass."
faals,adj. off key.
faam,n. family.
fader,n. Roman Catholic priest.
fakansi,n. vacation.
falander,v. re-tailor. Also farmaak.
falantein,n. Valentyne.
falef,n. valve (on a mechanical device)
falungku,n. fist. v. punch with the fist. Also palungku.
faluur,see fluur.
fam,n. surname. Ose fam apa? = What is your surname?
famili,n. family.
faneti,n. see paneti.
faranda,n. verandah.
fardeis,n. Paradise.
fardipeng,"adj. multi-storied. Ruma fardipeng, Two (or more) storied house."
fareek,itj. forget it!
farlaak,n. plastic sheet. cf. palastik.
farmaak,v. 1. alter. Tolong farmaak beta pung baju. = Please alter my dress. 2. punch with the fist. See also falander.
farsuuk,v. visit.
fas,n. vase.
felbet,"n. field bed, camp cot."
felem,"n. 1. film (for a camera). 2. moving picture, move."
ferbaan,n. bandage.
feref,n. artist's paint. v. paint with water colors or other artist's paint materials.
fiool,n. violin.
firkan,adj. rectangular.
fitsiin,n. monosodium glutamate.
flek,"n. stain, spot."
floit,vi. whistle.
fluur,n. concrete floor.
fondasi,n. foundation.
fool,n. volt.
foris,"n. living room, parlor."
forlope,adv. meanwhile (as a temporary measure).
formulir,n. (paper) form.
forok,n. fork (eating utensil). Also garpu.
forsa,adv. with forceful energy. Bajalang forsa = walk as if on a forced march.
forsneleng,n. 1. gear. 2. transmission.
forstefer,n. Diesel fuel injector.
forsterket,n. (electronic) amplifier.
fort,n. fort.
foto,n. & v. photograph.
frikadeel,n. a small amount of ground beef fried inside a ball of mashed potato.
fronk,vt. decorate.
fufu,adj. smoked. Babi fufu = smoked pork.
fufuu,v. employ black magic upon.
futbaal,n. 1. ball used in soccer. 2. soccer.
gaaf,n. (nautical) gaff.
gaap,see gaaf.
gaba-gaba,n. 1. the pithy wood of a dry sago branch. 2. dried sago branches used as building material.
gabadaang,"n. bomb used for fishing, granade."
gabeng,"n. cabin biscuit, cream cracker."
gabus,"n. foam, cork, or similar porous substance."
gaca,n. see ikang gaca.
gaca bongko,n. see ikang gaca bongko.
gaco,"n. taw (best marble, marble of choice)."
gaco montar,n. ace marble(?)
gadeng,n. rib of a boat.
gadihu,n. beefsteak hedge shrubbery.
gado-gado,"n. A kind of hot, spicy salad."
gae,"v. 1. catch and draw in, as with a barb or hook. 2. (slang) do (something) energetically."
gae-gae,n. hook.
gaga,adj. powerfully handsome.
gagang,"n. stem, twig."
gagu,adj. tongue-tied.
gaja,n. elephant.
gaji,"n. salary, wages."
gala,n. pole used for pole vaulting or punting.
galaang,n. 1. bracelet. 2. large ring not worn on the body.
galaas,"n. 1. dringking glass. 2. glass (the raw material, especially when powdered to be glued to kite strings)."
galala,"n. A tree, Erythrina Picta, having pale yellow leaves."
gale,v. dig.
gale-gale,n. a dance.
galeter,n. (of a spinning top) wobbly.
gali aer,"adj. 1. impervious to water, like the leaves of the taro plant. 2. Literally ""Avoiding water,"" inattentive to personal hygiene."
galii,"v. shrink from, be unwilling to touch."
galinggi,n. A plant which bears pods used as markers for congka. Asilulu dialect.
galoba,n. A ginger having edible fruit and other similar ginger plants.
galojo,adj. greedy.
gamaang,"vi. exhibit extraordinary eagerness, be overly eager."
gambar,"n. picture. v. draw a picture, draw a picture of."
gambir,"n. A commercial stimulant decocted from Uncaria gambir, used with the betel leaf. bunga gambir. Asilulu."
gambus,n. lute.
game,v. beckon with a scooping motion of the down-turned hand.
gampang,adj. 1. easy. Itu gampang saja. = That's easy. 2. ready-made. adv. already. Barang2 su ada gampang. = Things that are already there.
gamutu,n. 1. black fiber of the mayang tree (the areng palm). 2. rope made from this fiber.
gamuu,n. adj. fat.
gancang,adj. cheeky(?) cf. lancang.
ganco,n. a gaff used in handling gunny sacks.
gancu,n. see ganco.
gandaria,n. A fruit tree.
gandarusa,"n. A medicinal plant, Andrographis spp."
gandarusa mera,"n. A plant, Andrographispaniculata."
gandarusa puti,n. A kind of gandarusa.
gandong,"n. person of a village related by pela, as a person of Rumakai to a person of Rutung. adj. having the same mother. Ade gandong = Younger sibling."
ganefer,n. whisky.
ganemu,n. A tree.
gang,n. alley. Also hang.
gangsa,n. goose.
gantang,"n. large, rough basket made of bamboo. adj. handsome."
ganti,"v. substitute, replace. Nanti beta ganti akang. = I will replace it (with something). adv. in place of. Nakang ikang ganti ayang. = Eat fish in place of chicken."
garaaf,"n. drain, ditch, gutter."
garaap,see garaaf.
garang,n. salt.
garduus,n. cardboard.
gareja,n. church.
garendel,n. the bar or latch of a door. v. bar (a door).
gareng,"adj. crisp, brittle."
gargaji,n. saw.
gargaji buaya,"n. large trapezoidal saw with two handles, used to saw planks from trunks."
gargaji potong,"n. large saw with two handles, used to saw planks from trunks."
gargaji taresel,see gargaji tresel.
gargaji tongka,"n. large saw with two handles and a three-sided wooden frame, used to saw planks from trunks."
gargaji tresel,n. A kind of large saw.
gargaji waja,n. hacksaw.
gargantang,n. 1. throat. 2. Adam's apple.
gargataang,vt. be frustrated to the point of feeling like biting or attacking. Ana ini kajahatang sampe katoong gargataang dia. = This child is so wicked we feel like biting him.
garida,"adj. (of the eyes) big and bold. Nona mata garida, A girl with big, bold eyes. --Roy Sekewael."
garis,n. 1. scratch. 2. Line drawn upon something. 3. match for lighting fires. v. 1. scratch. 2. Draw a line.
garis tangang,"n. 1. The lines in the palm of one's hand. 2. luck. Kal beta pung garis tangang bagus, be hela tatihu. If my luck is good, I will pull in a yellowfin tuna."
garobak,n. cart.
garoos,"(Of elongate objects) thick, having large diameter."
garopa,n. A grouper fish.
garpu,n. eating fork. Also forok.
gartaak,v. shout at loudly so as to paralyze with fear.
gartak gigi,v. grit one's teeth.
garu,v. 1. scratch. 2. stir (a viscous fluid) with a fork.
garuru,n. container made of bark to catch air neira.
gasa,v. rub abrasively.
gasao,n. A kind of very small fish.
gata-gata,n. tongs.
gataa,"n. 1. sap, pitch. 2. rubber. cf. bagataa. cf. geta."
gatsasi,"vi. undergo catechization, attend lectures on Christian doctrine."
gaya,n. style.
gayang,n. (vulgar slang) vulva. See also pohong gayang.
gayong,n. dipper.
genta,n. church bell. Also lonceng gareja.
gepe,"v. clamp. PAN gepit, pinch, squeeze between."
gepe-gepe,n. clamp.
geser,v. move a little distance away.
geta,n. rubber. Sandal geta = rubber sandals. cf. gataa.
gete-gete,n. A small marine fish.
gici-gici,n. hopscotch. Ana-ana ada barmaeng gici-gici. = The children are playing hopscotch. v. skip. Batu gici-gici di atas aer. = The rock skips over the water.
gigi,n. tooth. v. bite.
gigi balobang,n. tooth having a cavity. a. afflicted with cavities.
gigi moncong,a. having buck teeth.
gigi ompong,a. having missing teeth.
gila,adj. crazy.
gili-gili,v. tickle. Beta gili-gili ose nanti! = I will tickle you! adj. ticklish.
gintang,"n. cumin, A spice plant, Cuminum cyminum."
girang,adj. exuberant.
giyawas,see guyawas.
gobang,n. two and a half cents piece used during the Dutch administration.
gode,adj. pot bellied.
gofasa,see gufasa.
gogos,n. a kind of sticky rice cake containing dried julung meat often served for breakfast. adj. (deprecating) dear. Nyong gogos e! = Dear young man!
gomaro,"n. A fish, the giant jackfish. cf. bubara."
gomaru,see gomaro.
gomira,"n. A tree, the leaves of which can be eaten as a vegetable."
gomu,"n. A wild breadfruit tree, Artocarpus incisa L."
gondal,n. A tree.
gondal mera,n. A tree.
gondrong,adj. excessively long (of hair).
gong,n. gong.
gong-gong,vi. bark. vt. bark at. Anjing gong-gong apa itu? = What is the dog barking at?
gool,n. goal (as in a soccer game). vi. 1. strike goal. 2. experience some inevitable result. Nyong deng nona gool di bawa jombatang = (The) boy and (the) girl had sex under the bridge.
goot,"n. gutter, ditch."
gopu-gopu,adj. adv. in a rush.
gora,n. A fish.
gora baduri,n. A fish.
goreng,v. fry.
gorgol,n. handcuff.
gosi,n. male genitalia.
goso,v. 1. rub. 2. whet. Tete ada goso parang. = Tete is whetting his sword.
gosong,"adj. charred, burnt."
gotana,n. see ikang gutana.
goti,n. trough used in sago processing.
goyang,vi. 1. wobble. 2. move the body from side to side. 3. repeatedly raise and lower a fishing line to which a weight and lures have been attached so as to attract fish. vt. shake.
grendel,see garendel.
gring-gring,n. sound of a bicycle bell.
gubernuur,n. governor.
gudang,n. storage building or storage area.
gufasa,"n. A hardwood tree, Vitex Punctuata."
gugat,v. challenge (something).
gugur,v. fall off.
guheba,n. see burung guheba.
gujawas,see guyawas.
gula,n. sugar.
gula mera,n. areng sugar.
gula pasir,n. processed white sugar.
gula puti,n. processed white sugar.
gula tare,n. areng sugar at a certain stage of production.
gula-gula,n. candy. Also bunga gula.
gula-gula karet,n. chewing gum.
guling,n. bolster (long cushion placed between legs for sleeping). v. 1. roll. 2. throw down (an opponent). cf. bantal polo.
gulung,v. roll up.
guna,"n. 1. purpose. Tar ada pung guna - having no purpose, or useless. 2. magic."
guna gurita,n. witchcraft to win the hearts of women.
guna-guna,"n. black magic, witchcraft."
gundul,"adj. bald. Also botak, kising."
gunting,n. 1. scissors. 2. the forking timbers that support a peaked roof (Asilulu). v. 1. cut using scissors. 2. pinch off (a piece of papeda) between forefinger and thumb.
guntur,n. thunder. cf. kilat.
gunung,"n. mountain, hill."
gurara,n. see ikang gurara.
gurinda,v. grind.
gurita,n. 1. octopus. 2. kind of vest worn by babies.
guru,"n. teacher, instructor. Also tuang guru."
gusau,see gosao.
gusepa,n. raft.
gutana,n. see ikang gutana.
guyawas,"n. The guava tree, Psidium guajava, and its fruit."
guyawas kasumba,n. A guava with purplish flesh.
guyawas puti,n. A guava with whitish flesh.
haak,"n. 1. legal right. 2. hook, fisherman's gaff. 3. heel of a shoe. v. crochet."
haal,"n. litigation, legal matter. Also parkara."
haang,n. alley.
haas,"haas, n. 1. fine-meshed screen. 2. beef cut from the loin."
habar,see kabar.
habar-habar,sbr. it is said that.
hadat,n. cultural tradition. Also adat.
hael,"n. branch, as of a coconut tree. --Roy Sekewael."
hafal,vt. memorize. adv. in made-up fashion. Jang stori hafal! = Don't make up stories.
hafen,n. harbor.
haga,v. dare. Jang haga = Don't dare.
hahae,n. sound of a laugh.
hahalang,see hohalang.
hahatang,n. wood or palm stem stands on which baked sago bread cools (asilulu).
hahean,n. A legume with deep yellow flowers; its leaves are pounded with shallots for cough medicine; the juice from crushed leaves is dripped into infants' eyes (age five days) to clean them (Asilulu).
haheket,n. fastening (Asilulu).
hahesi,see tali hahesi.
hahusul,"n. bow-and-arrow, slingshot, speargun (Asilulu)."
haji,n. a title and term of reference for one who has made the hajj.
hak tinggi,n. high heels (of shoes).
halaal,adj. permitted by Islam. Ant. haraam.
halakul,n. A large tree (Asilulu).
halangang,n. hindrance.
haleki,n. a tree.
haleki raja,"n. A tree, (ulm.) gironniera subalgualis."
haleri,"n. A small tree, the leaves of which are used in medicinal potions for women, and in other medicines (Asilulu)."
halia,"n. ginger, Zingiber officinale."
halma,n. Chinese checkers.
halo,itj. hello!
haloo,itj. hello.
halua,n. A kind of sweetmeat or taffy made of sugar and certain fruits or nuts.
haluang,n. 1. bow of a conveyance. 2. helm of a conveyance. Bale haluang! = Turn back the helm!
hamang-hamang,"n. An insect, perhaps a gnat.:"
hambag,adj. humbug(?).
handok,n. towel.
handuk,see handok.
hang,n. alley. Also gang.
hangsang,n. gills.
hanskun,n. glove.
hansop,n. A kind of one-piece child's costume.
hantaas,n. carrying bag.
hantu,n. ghost.
hantu lao,n. sea ghost.
hanua,n. A tree.
hapus,v. erase.
haraam,adj. forbidden by Islam. Ant. halaal.
harap,v. 1. put trust in. Jang harap ana itu. = Don't put your trust in that young person. 2. hope. Beta su seng harap lae. = I no longer hope anymore.
harap gampang,"adj. lazy, always looking to others for sustenance or help."
harapang,adj. trusty. Beta pung ajimat harapang. = My trusty magic.
hari,n. day.
Hari Dominggu,n. Sunday.
haringang,adj. light in weightt.
harnaat,n. grenade.
harta,n. possessions.
harta kaweng,n. bride price.
hasa,"v. skirt or follow (a shoreline, the base of a hill, etc.). adv. skirting the shore."
hasat,"n. A vine often used for lashing things together, esp. for fish traps (Asilulu)."
hasida,"n. A sweetmeat made of raw dough, sugar and spices."
hasida kantang,n. A sweetmeat made with potatoes.
hataul,"n. A large shore tree, yielding an orangeish wood suitable for boat building (Asilulu). Also kanjoli."
hati,n. 1. liver. 2. seat of the emotions.
hati bae,"adj. good hearted, kind."
hati busu,adj. unkind.
hati gaba-gaba,hati gaba-gaba
hati ilang,v. experience vertigo.
hati tapukul,v. experience pounding of the heart.
hati tuang,adj. in mastery of my heart. Sio nona hati tuang! = Miss master of my heart!
hattip,n. Moslem cleric.
hawa,n. gas.
hawa konto,n. flatus.
hawaas,adj. in good health.
hawoon,adj. ordinary.
hayaal,adj. presumptive.
hee,itj. shout to get one's attention.
hei,see hee.
heits,itj. see heits.
heits,"itj. a word ofchallenge. Heits, ose biking apa itu? Hey there, what are you doing?"
hela,"v. 1. tug, pull. Hela akang kamari. = Pull it over here. 2. draw something out over time, be slow. adv. slowly. Jang bajalang hela talalu. = Don't walk so slowly. PAN hilah, drag, pull."
hela hai,v. sigh.
hela nafas,vi. see hela napas.
hela napas,vi. inhale.
hela napas penghabisang,vi. draw one's last breath.
hela rotang,v. have a tug of war.
hela-hela,adv. slowly.
hena,n. clan.
hener,"v. 1. run as water off the land in a rainstorm. PAN qeNeb, spread all over. 2. be swollen from rain. Air hener, Stream swollen from heavy rain."
hengsel,n. hinge. Also skaniir.
herang,"v. be amazed, marvel."
hexe,itj. Now see what you have done!
hina,adj. lowly.
hindu,adj. Animistic.
hobatang,"n. witchcraft, black magic."
hohal,n. bangle made of Conus spp. shell (Asilulu).
hohalang,n. carrying pole. Also hahalang.
hohate,n. fishing rod.
hokal,n. fathom (Asilulu).
holo,vi. get lucky.
honar,adj. having the odor of urine. Also hosi.
honda,n. motorcycle (Asilulu).
hongi,n. 17th-century Dutch expeditions to extirpate spice trees. v. gather as a crowd with belligerent and destructive intent.
honya-honya,n. youthful folly. Jang os biking ong honya-honya dalang dunya pinjang ini talalo. = Don't you go doing too much of your youthful folly in this borrowed world. --Roy Sekewael (Oma).
hoor,n. a kind of large machete (parang hoor). itj. the sound of a snore. cf. huur.
hop,"itj. yea! Hop, Om Andi! = Hurray for Oom Andi!"
hordein,n. curtain.
hordeng,n. see hordein.
hormat,n. respect (Asilulu).
horomate,itj. honor to you!
hosa,v. pant. adj. afflicted with asthma (saki hosa).
hosi,adj. (smelling) of urine. Kamar mandi bobo hosi lawang! = This bathroom really smells like amonia! Also honar.
hotong,"n. millet, Panicum spp."
hotu,v. climb into the hills.
hou,v. 1. boast untruthfully (Oma). Also palena. 2. steal. hou kepeng-kepeng rakyat. Also tou.
hou,vt. grab. Hou kepeng rakyat. = Steal money from the people.
houderbaak,n. rifle clip.
hreet,n. fret on a guitar.
hreis,adj. gray.
huele,"v. call out with a loud, often yodeling voice, so as to make one's presence known in the forest."
hura,n. hurrah. Ana-ana angka hura. = The boys raised a hurrah.
huse,itj. get out of here. Also huus.
hutil,n. wart (Asilulu).
hutul,n. roost. Ayang cari hutul. = Chicken looking for roost.
hutung,"n. A seaside tree, Barringtonia asiatica (Asilulu)."
huur,itj. the sound of a snore. Also hoor.
huus,itj. shoo! Also huse.
huwele,see huele.
ia,adv. yes (respectful). cf. io.
ibliis,n. Satan.
idong,n. nose.
ii,"itj. an expression of disgust and dislike. PAN qi, exclamation of pain, fear, excitement, etc."
iis,"itj. an exclamation of revulsion. PAN qis, interjection of disapproval or disgust."
ika,"v. tie, lash. Dong ada ika najong. = They are lashing the outrigger spars (onto the canoe)."
ika tai tikus,n. a knot used to join the ends of two lines.
ikal,n. curl of hair.
ikan cip-cip,n. A marine fish.
ikan kabuus,"n. A freshwater fish. PAN qabu qabu, a kind of fish."
ikan kapas-kapas,"n. A fish, the bony Bream, Nematolosacome Richardson."
ikan sikuda,n. long-neck snapper fish.
ikang,n. fish.
ikang babi,n. dolphin ( Delphinus).
ikang balobo,"n. A fish, the river garfish, Hyporhamphus ardelio."
ikang bulana,"n. A white marine fish, the tarpon (Megalops). PAN balanak, a sea fish: the mullet."
ikang cakalang,"n. A fish, the skipjack tuna (genus Euthynnus)."
ikang gaca,n. a marine fish.
ikang gaca bongko,n. a marine rock fish.
ikang garang,n. salt-cured fish.
ikang garopa,"n. groper, Epinephelidae."
ikang gosau,"n. A very small fish, perhaps the anchovy, Engraulidae."
ikang gotana,n. a marine rock fish.
ikang gurara,n. a fish.
ikang gutana,see ikang gotana.
ikang humawal,"n. A fish, Oxeye herring, Megalops cyprinoides (Asilulu)."
ikang ile,"n. A fish, the low-finned drummer, Kyphosus vaigiensis."
ikang julung,n. a small marine garfish or hemiramphus.
ikang kapalamada,"n. dolphin (mahi-mahi), (Coryphaena hippurus)."
ikang kawalinya,"n. A marine bait fish. PAN qawas, a mullet, Neomyxus chaptalii. PAN qawan, the milkfish: Chanos chanos."
ikang kees,n. mangrove mudskipper fish.
ikang kerong-kerong,n. A fish.
ikang koe,n. A fish.
ikang komu,"n. The bonito, a fish (genus Sarda)."
ikang kuda,n. sea horse. a small marine fish of the genus Hippocampus.
ikang lasi,"n. A fish, the spotted mackerel, Sawaraniphonia Cuvier."
ikang layar,"n. A fish, the Pacific sailfish, Istiophorus orientalis."
ikang lema,n. a fish.
ikang lema batu,"n. A fish, Leaping bonito, Cybiosarda elegans."
ikang lolosi,"n. A fish, evidently a smaller species of what is called ""yellowtail"" in California."
ikang lomba-lomba,n. whale.
ikang lompa,n. A fish.
ikang make,"n. A fish, Southern herring, Harengulaabbreviata Valenciennes."
ikang momar,n. A fish.
ikang mulu tikus,"n. A fish, the blue catfish, Neoarius australis."
ikang nasi,n. A small marine fish.
ikang pari biasa,"n. The blue-spotted stingray, Amphotistiuskuhlii Muller and Henle."
ikang pari bunga-bunga,"n. The blue-spotted fantail ray, Taeniuralymna Forskal."
ikang pari marsegu,"n. The spotted eagle ray, Aetobatusnarinari Euphrasen."
ikang pari pasir isi,"n. The stingaree, Urolophustestaceus Muller and Henle."
ikang paus,n. whale.
ikang paus-paus,n. whale. Also lomba-lomba.
ikang puri,n. A small marine fish often used to bait skip jack.
ikang putilai,n. A tuna fish having soft bones.
ikang raja bau,"n. A fish, Many-lined sweetlips, Plectorhynchus goldmanni."
ikang roto,"n. A marine fish, the Jewfish."
ikang saku lau,n. marlin.
ikang salmaneet,n. a marine rock fish.
ikang salmaneti,n. A marine fish.
ikang salmaneti lao,n. A marine fish.
ikang samandar,n. a marine fish.
ikang sardinya,n. sardine fish.
ikang sarlinya,n. a kind of fish.
ikang sarui,n. a garfish.
ikang silapa,n. A marine fish having big lips.
ikang singaro,n. A marine fish.
ikang tangiri,"n. A marine fish, the mackerel. PAN ta9giRi, a fish: the Spanish mackerel"
ikang tatihu,"n. A fish, the yellowfin tuna."
ikang tatu,"n. A marine fish, the triggerfish."
ikang teri,n. A marine fish.
ikang tola,n. A marine fish.
ikang tuxu,"n. A fish (Oma, Wassu dialect)."
iko,v. 1. chase. 2. follow. 3. obey. adv. according to. Kal iko dia pung bicara = according to his words.
ilang,v. 1. get lost. Ana itu ilang dalang utang. = That child got lost in the forest. 2. disappear. Barang-barang ilang di toko. = Things disappeared from the store. adj. lost.
ilang-ilang,"v. vanishing, disappearing. adj. barely visible."
imam,n. Muslim prayer-leader and religious functionary.
ina,"n. 1. mother. 2. daughter. itj. exclamation of astonishment. PAN qina, exclamation of astonishment, fright, etc."
inga,v. remember.
ingatang,"v. beware. itj. Watch out!, Beware!, Be careful!"
ingus,"n. nasal mucus, snot."
ini,prn. this. ant. itu.
ini ni,prn. this. Ana ini ni tar lama dapa pukul. = It won't be long before this child gets a spanking.
inja,vt. step upon.
injang,see inja.
io,"adv. yes (not respectful). cf. ia. PAN qio, yes; expression of affirmation."
ipar,n. brother-in-law.
irus,n. coconut shell ladle.:
isa,"itj. exclamation of frustration and surprise. This interjection apparently pre-dates the advent of Christianity, so is not the name, ""Isa,"" or ""Jesus,"" but an ancient Austronesian word."
iset,itj. see isa.
isi,n. 1. flesh. 2. contents. 3. insert. v. insert.
isi bagaraa,adj. unable to sit still.
isi boor,n. drill bit.
isi hati,n. innermost thoughts.
isi labee,n. tumor.
isi pana,n. arrow.
isi panggayo,n. blade of a paddle.
isi parang,n. sword blade.
isi tangang,n. palm of the hand.
iskareek,see skareek.
istaga,see astaga.
istaganaga,see astaganaga.
itang,n. dark cloud usually accompanied by strong wind. adj. black.
itu,prn. that. Ontua itu. = That older person. ant ini.
itu tu,prn. that. Ontua itu tu salamanya bagitu. = That old fellow is always like that.
jaam,"n. 1. hour. 2. timepiece (either worn on person or set up somewhere). cf. lonceng, arloji."
jaam-jaam,adv. for hours and hours.
jadam,"n. A kind of commercial extract of aloe from which bitter concoctions are made, used to treat aches, etc."
jadi,v. 1. be born. Beta jadi di Saparua. = I was born in Saparua. 2. become. Also jaji. sbr. therefore.
jae,n. a plant.
jaga,"n. tree limb. Akang ada dudu di jaga kayu, It is sitting on a tree limb. v. 1. guard. Dia jaga pintu balakang. = He guarded the back door. 2. be on guard. Jaga, jang sampe beta potong! = Be on guard, lest I cut you! 3. lie in wait for. Dong jaga dia di Kampong Lama. = They lay in wait for him in Kampong Lama. adv. repeatedly, habitually, continually. Beta jaga pii barnaang di Natsepa. = I used to go swimming at Natsepa."
jaga lia,v. wait and see.
jaganti,n. giant.
jago,n. champion. prn. he. Jago ada di mana? = Where is he? adj. champion. Jago catur = chess champion.
jagong,"n. corn, Zea mays."
jagong kariing,"n. hard, dried kernels of corn."
jagong mda,n. sweet corn.
jahanam,adj. wicked.
jahat,"adj. evil, bad."
jaji,see jadi.
jala,n. throwing net for fishing. cf. jareng.
jalanang,n. 1. roadway. 2. journey.
jalang,n. roadway. v. 1. walk. 2. move ahead.
jamaang,adj. middle aged. Also calakate.
jamakat,"n. A melon, Citrullusvulgaris."
jambang,n. sideburn.
jambatang,n. 1. bridge. 2. pier. Kapal sandar di jambatang. = The ship pulled up to the pier.
jambu,"n. Several trees and their fruits, known in English as the Malayapple, Syzygium malaccensis."
jambu aer,"n. A Malay apple tree yielding a small, red fruit, Syzgium spp."
jambu biji kaluar,"n. The cashew tree and its fruit, Anacardium occidentale."
jambu bool,n. A Malayapple tree.
jambu kees,"n. A Malayapple tree yielding large red fruit, Syzgium spp."
jambu kota,"n. A Malayapple, Syzygiummalaccensis Merr. and Perry."
jambu mahu,"n. A Malayapple tree yielding large red fruit, Syzgium spp."
jambu monyet,n. The cashew tree.
jambu wangi,"n. A light-green, fragrant species of jambu."
jamor,n. mushroom or toadstool. Also jamur.
jamur,see jamor.
jandela,n. window.
